"","Date","Deces","Annee"
"805",2020-12-12,1,2009
"806",2020-12-17,1,2009
"807",2020-01-03,1,2010
"808",2020-01-07,1,2010
"809",2020-01-09,1,2010
"810",2020-01-12,1,2010
"811",2020-01-13,2,2010
"812",2020-01-19,1,2010
"813",2020-01-24,2,2010
"814",2020-01-25,1,2010
"815",2020-01-26,2,2010
"816",2020-01-30,1,2010
"817",2020-02-03,1,2010
"818",2020-02-06,1,2010
"819",2020-02-09,1,2010
"820",2020-02-15,1,2010
"821",2020-02-19,1,2010
"822",2020-02-21,2,2010
"823",2020-02-22,1,2010
"824",2020-02-23,1,2010
"825",2020-02-25,1,2010
"826",2020-03-04,1,2010
"827",2020-03-07,1,2010
"828",2020-03-13,1,2010
"829",2020-03-16,1,2010
"830",2020-03-17,1,2010
"831",2020-03-18,2,2010
"832",2020-03-24,1,2010
"833",2020-03-25,1,2010
"834",2020-03-31,1,2010
"835",2020-04-01,1,2010
"836",2020-04-06,1,2010
"837",2020-04-15,1,2010
"838",2020-04-18,1,2010
"839",2020-04-19,1,2010
"840",2020-04-21,1,2010
"841",2020-04-23,1,2010
"842",2020-04-27,1,2010
"843",2020-05-03,1,2010
"844",2020-05-04,1,2010
"845",2020-05-06,1,2010
"846",2020-05-14,1,2010
"847",2020-05-16,1,2010
"848",2020-05-20,1,2010
"849",2020-05-21,2,2010
"850",2020-06-01,1,2010
"851",2020-06-06,1,2010
"852",2020-06-10,1,2010
"853",2020-06-13,1,2010
"854",2020-06-17,1,2010
"855",2020-06-21,1,2010
"856",2020-06-22,2,2010
"857",2020-06-25,1,2010
"858",2020-06-28,1,2010
"859",2020-07-02,1,2010
"860",2020-07-04,2,2010
"861",2020-07-06,1,2010
"862",2020-07-07,1,2010
"863",2020-07-08,1,2010
"864",2020-07-09,1,2010
"865",2020-07-16,2,2010
"866",2020-07-20,1,2010
"867",2020-07-22,2,2010
"868",2020-07-27,1,2010
"869",2020-08-04,1,2010
"870",2020-08-09,1,2010
"871",2020-08-10,3,2010
"872",2020-08-15,1,2010
"873",2020-08-17,1,2010
"874",2020-08-18,1,2010
"875",2020-08-20,2,2010
"876",2020-08-21,1,2010
"877",2020-08-24,1,2010
"878",2020-08-25,1,2010
"879",2020-08-27,1,2010
"880",2020-08-28,1,2010
"881",2020-09-02,1,2010
"882",2020-09-03,1,2010
"883",2020-09-04,2,2010
"884",2020-09-08,1,2010
"885",2020-09-13,1,2010
"886",2020-09-14,1,2010
"887",2020-09-17,2,2010
"888",2020-09-20,1,2010
"889",2020-09-26,1,2010
"890",2020-09-28,1,2010
"891",2020-10-01,2,2010
"892",2020-10-07,2,2010
"893",2020-10-09,1,2010
"894",2020-10-17,1,2010
"895",2020-10-22,2,2010
"896",2020-10-25,1,2010
"897",2020-10-30,1,2010
"898",2020-11-01,1,2010
"899",2020-11-02,1,2010
"900",2020-11-14,2,2010
"901",2020-11-17,1,2010
"902",2020-11-21,1,2010
"903",2020-11-24,1,2010
"904",2020-11-25,1,2010
"905",2020-11-26,2,2010
"906",2020-11-27,2,2010
